16|ATT|13|0.00
16|DEF|20|0.00
16|MID|22|0.00
16|GK |21|0.00
17|ATT|16|0.00
17|DEF|24|0.00
17|MID|29|0.00
17|GK |26|0.00
18|ATT|20|0.00
18|DEF|32|0.00
18|MID|37|0.00
18|GK |32|0.00
19|ATT|24|0.00
19|DEF|36|0.00
19|MID|43|0.00
19|GK |37|0.00
20|ATT|28|0.00
20|DEF|44|0.00
20|MID|51|0.00
20|GK |41|0.00
21|ATT|32|0.00
21|DEF|49|0.00
21|MID|59|0.00
21|GK |47|0.00
22|ATT|36|0.00
22|DEF|53|0.00
22|MID|67|0.00
22|GK |52|0.00
23|ATT|39|0.00
23|DEF|58|0.00
23|MID|73|0.00
23|GK |55|0.00
24|ATT|41|0.00
24|DEF|62|0.00
24|MID|78|0.00
24|GK |58|0.00
25|ATT|43|0.00
25|DEF|66|0.00
25|MID|83|0.00
25|GK |62|0.00
26|ATT|45|0.00
26|DEF|69|0.00
26|MID|87|0.00
26|GK |64|0.00
27|ATT|46|0.00
27|DEF|72|0.00
27|MID|87|0.00
27|GK |64|0.00
28|ATT|47|0.00
28|DEF|73|0.00
28|MID|88|0.00
28|GK |65|0.00
